Start,-,End,MEALS2GO,MKT DINEIN
08:01 PM,-,08:15 PM,0,0
08:16 PM,-,08:30 PM,0,0
08:31 PM,-,08:45 PM,0,0
08:46 PM,-,09:00 PM,0,0
09:01 PM,-,09:15 PM,0,0
09:16 PM,-,09:30 PM,0,0
09:46 PM,-,10:00 PM,0,0
10:01 PM,-,10:15 PM,0,0
10:16 PM,-,10:30 PM,0,0
10:31 PM,-,10:45 PM,0,0
10:46 PM,-,11:00 PM,0,0
11:01 PM,-,11:15 PM,0,0
11:16 PM,-,11:30 PM,0,0
11:31 PM,-,11:45 PM,0,0
11:46 PM,-,12:00 AM,0,0
Day Totals:,0,0,"1,871",0
"Sunday, 01/25/2015",,,,
11:16 AM,-,11:30 AM,0,9
11:31 AM,-,11:45 AM,0,202
11:46 AM,-,12:00 PM,0,134
12:01 PM,-,12:15 PM,0,153
12:16 PM,-,12:30 PM,0,119
12:31 PM,-,12:45 PM,0,92
12:46 PM,-,01:00 PM,0,66
01:01 PM,-,01:15 PM,0,94
01:16 PM,-,01:30 PM,0,41
01:31 PM,-,01:45 PM,0,0
01:46 PM,-,02:00 PM,0,0
02:01 PM,-,02:15 PM,0,0
02:16 PM,-,02:30 PM,0,0
02:31 PM,-,02:45 PM,0,0
02:46 PM,-,03:00 PM,0,0
03:01 PM,-,03:15 PM,0,0
03:16 PM,-,03:30 PM,0,0
03:31 PM,-,03:45 PM,0,0
03:46 PM,-,04:00 PM,0,0
04:01 PM,-,04:15 PM,0,0
04:16 PM,-,04:30 PM,0,0
04:31 PM,-,04:45 PM,0,0
04:46 PM,-,05:00 PM,0,0
05:01 PM,-,05:15 PM,0,139
05:16 PM,-,05:30 PM,0,116
05:31 PM,-,05:45 PM,0,167
05:46 PM,-,06:00 PM,0,136
06:01 PM,-,06:15 PM,0,229
06:16 PM,-,06:30 PM,0,112
06:31 PM,-,06:45 PM,0,125
06:46 PM,-,07:00 PM,0,49
07:01 PM,-,07:15 PM,0,0
07:16 PM,-,07:30 PM,0,0
07:31 PM,-,07:45 PM,0,0
07:46 PM,-,08:00 PM,0,0
08:01 PM,-,08:15 PM,0,0
08:16 PM,-,08:30 PM,0,0
08:31 PM,-,08:45 PM,0,0
08:46 PM,-,09:00 PM,0,0
09:01 PM,-,09:15 PM,0,0
09:16 PM,-,09:30 PM,0,0
09:31 PM,-,09:45 PM,0,0
09:46 PM,-,10:00 PM,0,0
10:01 PM,-,10:15 PM,0,0
10:16 PM,-,10:30 PM,0,0
10:31 PM,-,10:45 PM,0,0
10:46 PM,-,11:00 PM,0,0
11:01 PM,-,11:15 PM,0,0
11:16 PM,-,11:30 PM,0,0
11:31 PM,-,11:45 PM,0,0
11:46 PM,-,12:00 AM,0,0
Day Totals:,0,0,"1,983",0
"Monday, 01/26/2015",,,,
07:01 AM,-,07:15 AM,0,39
07:16 AM,-,07:30 AM,1,43
07:31 AM,-,07:45 AM,0,83
07:46 AM,-,08:00 AM,0,32
08:01 AM,-,08:15 AM,0,28
08:16 AM,-,08:30 AM,1,44
08:31 AM,-,08:45 AM,3,79
08:46 AM,-,09:00 AM,4,38
09:01 AM,-,09:15 AM,1,22
09:16 AM,-,09:30 AM,0,22
09:31 AM,-,09:45 AM,1,30
09:46 AM,-,10:00 AM,7,27
10:01 AM,-,10:15 AM,1,9
10:16 AM,-,10:30 AM,2,6
10:31 AM,-,10:45 AM,0,3
10:46 AM,-,11:00 AM,8,71
11:01 AM,-,11:15 AM,12,85
11:16 AM,-,11:30 AM,8,39
11:31 AM,-,11:45 AM,13,77
11:46 AM,-,12:00 PM,24,216
12:01 PM,-,12:15 PM,22,234
12:16 PM,-,12:30 PM,19,71
12:31 PM,-,12:45 PM,6,67
12:46 PM,-,01:00 PM,4,46
01:01 PM,-,01:15 PM,6,52
01:16 PM,-,01:30 PM,1,16
01:31 PM,-,01:45 PM,1,7
01:46 PM,-,02:00 PM,1,5
02:01 PM,-,02:15 PM,8,11
02:16 PM,-,02:30 PM,3,5
02:31 PM,-,02:45 PM,0,2
02:46 PM,-,03:00 PM,1,3
03:01 PM,-,03:15 PM,3,4
03:16 PM,-,03:30 PM,2,1
03:31 PM,-,03:45 PM,1,1
03:46 PM,-,04:00 PM,1,2
04:01 PM,-,04:15 PM,1,2
04:16 PM,-,04:30 PM,3,3
04:31 PM,-,04:45 PM,3,5
04:46 PM,-,05:00 PM,5,48
05:01 PM,-,05:15 PM,7,109
05:16 PM,-,05:30 PM,6,88
05:31 PM,-,05:45 PM,5,90
05:46 PM,-,06:00 PM,4,123
06:01 PM,-,06:15 PM,4,166
06:16 PM,-,06:30 PM,4,132
06:31 PM,-,06:45 PM,7,128
06:46 PM,-,07:00 PM,8,97
07:01 PM,-,07:15 PM,4,60
07:16 PM,-,07:30 PM,8,35
07:31 PM,-,07:45 PM,7,22
07:46 PM,-,08:00 PM,3,17
08:01 PM,-,08:15 PM,0,0
08:16 PM,-,08:30 PM,0,0
08:31 PM,-,08:45 PM,0,0
08:46 PM,-,09:00 PM,0,0
09:01 PM,-,09:15 PM,0,0
09:16 PM,-,09:30 PM,0,0
09:31 PM,-,09:45 PM,0,0
09:46 PM,-,10:00 PM,0,0
10:01 PM,-,10:15 PM,0,0
10:16 PM,-,10:30 PM,0,0
10:31 PM,-,10:45 PM,0,0
10:46 PM,-,11:00 PM,0,0
11:01 PM,-,11:15 PM,0,0
11:16 PM,-,11:30 PM,0,0
